iter	MultiClass
0	1.857061357
1	1.781646384
2	1.711467896
3	1.649457421
4	1.593283346
5	1.545337344
6	1.496604098
7	1.449820495
8	1.407557057
9	1.36699032
10	1.330616977
11	1.295793765
12	1.263768656
13	1.230911388
14	1.200897202
15	1.172345387
16	1.146737282
17	1.122641476
18	1.097690948
19	1.075013734
20	1.052993363
21	1.031875096
22	1.012724911
23	0.9933748719
24	0.9748052773
25	0.9572882624
26	0.9397700368
27	0.9229794498
28	0.9070157268
29	0.8916287076
30	0.876538705
31	0.8620833746
32	0.8488273966
33	0.8356259463
34	0.8232836792
35	0.8106894958
36	0.7987396536
37	0.7878990598
38	0.776538617
39	0.7660851455
40	0.755925213
41	0.745814498
42	0.7362273189
43	0.7269536496
44	0.7180491201
45	0.7092317876
46	0.7006924544
47	0.6923268415
48	0.6838855453
49	0.6762475415
50	0.6681852105
51	0.6610576629
52	0.6538211684
53	0.6467716869
54	0.6398600825
55	0.6329874692
56	0.6266636432
57	0.6205485669
58	0.6145863619
59	0.6084815517
60	0.6027844061
61	0.5972691598
62	0.5913546794
63	0.5858415182
64	0.580616237
65	0.5752761681
66	0.5701927249
67	0.5651784561
68	0.5602545284
69	0.5555295912
70	0.5509590587
71	0.5465429979
72	0.5422537523
73	0.5381996082
74	0.5343906473
75	0.5305653323
76	0.5270441435
77	0.5234222882
78	0.5195935938
79	0.5160021553
80	0.5124106405
81	0.5090430896
82	0.5057315068
83	0.5024046527
84	0.4990886629
85	0.4957548775
86	0.4926259327
87	0.4897160646
88	0.4869956734
89	0.4840555683
90	0.4811746073
91	0.4785358138
92	0.4758273727
93	0.4731968388
94	0.4707681105
95	0.4681836773
96	0.4659843633
97	0.4634988537
98	0.4609810424
99	0.4586743577
100	0.4564804943
101	0.4540796925
102	0.4518127151
103	0.4497226351
104	0.4477066501
105	0.4456968144
106	0.4437828851
107	0.4416662427
108	0.4398461805
109	0.4380024061
110	0.4361634382
111	0.4342829416
112	0.4325554708
113	0.4307774142
114	0.4291853602
115	0.4274806994
116	0.4257335186
117	0.4239684416
118	0.4223468004
119	0.420933916
120	0.4194644341
121	0.4179609811
122	0.4163842699
123	0.414824888
124	0.4131773938
125	0.4118933088
126	0.4105119345
127	0.4092128487
128	0.4082612713
129	0.4069452275
130	0.4056873639
131	0.404327635
132	0.4030313213
133	0.401556015
134	0.4006003232
135	0.3993396172
136	0.3981772884
137	0.3968815029
138	0.3958564186
139	0.3948975909
140	0.3936637092
141	0.3926133137
142	0.3914449036
143	0.3902905598
144	0.3892400855
145	0.3883736005
146	0.3873368704
147	0.3862455413
148	0.3852904583
149	0.3841567023
150	0.3833360258
151	0.3823924431
152	0.3814784067
153	0.380624758
154	0.3798274998
155	0.3791736866
156	0.3783621675
157	0.3774834274
158	0.3768489218
159	0.3761033894
160	0.3751837904
161	0.3743035685
162	0.37367494
163	0.37284595
164	0.3721882958
165	0.3715228008
166	0.3708146779
167	0.3699606949
168	0.3691524877
169	0.3683244651
170	0.3676754593
171	0.366751855
172	0.3661334564
173	0.3653210644
174	0.3645602434
175	0.3638097674
176	0.3629909826
177	0.362452523
178	0.361844908
179	0.3612657573
180	0.360532034
181	0.359955231
182	0.3591732923
183	0.3586487072
184	0.3580679778
185	0.3574274074
186	0.3567489654
187	0.356115118
188	0.355585216
189	0.3550174345
190	0.3544888275
191	0.3539590356
192	0.3533432282
193	0.352727004
194	0.3521720588
195	0.3515094658
196	0.3508750272
197	0.3504331431
198	0.3498433132
199	0.3493280596
200	0.3488091151
201	0.3482349518
202	0.3475554734
203	0.3471410859
204	0.3466119816
205	0.3460729305
206	0.3456712462
207	0.345086835
208	0.344570131
209	0.3441598522
210	0.343615921
211	0.343112355
212	0.3425879032
213	0.342077983
214	0.341570222
215	0.3410640613
216	0.3404596871
217	0.3401240919
218	0.3397102119
219	0.339263656
220	0.3387854269
221	0.3383839794
222	0.337882715
223	0.3374558763
224	0.3369886394
225	0.3366560019
226	0.3361110925
227	0.3356197014
228	0.3354053917
229	0.3350011596
230	0.3345415009
231	0.3341209618
232	0.3336882886
233	0.3333327885
234	0.3330053861
235	0.3327054864
236	0.3323177743
237	0.3319657594
238	0.3316133798
239	0.3312383349
240	0.330905851
241	0.330434534
242	0.3300678871
243	0.3296275454
244	0.3292175444
245	0.3288894983
246	0.3285492155
247	0.3281866456
248	0.3278840167
249	0.3274662297
250	0.327120674
251	0.3267395632
252	0.3264294403
253	0.3260726988
254	0.3257504545
255	0.3253848627
256	0.3250507678
257	0.324684435
258	0.3243136562
259	0.3240322635
260	0.3236827296
261	0.3233541892
262	0.3230794196
263	0.3227660903
264	0.3224921497
265	0.3220810912
266	0.321660148
267	0.3213321865
268	0.3210290978
269	0.3205868052
270	0.3202943571
271	0.3199004114
272	0.3195831889
273	0.3193029854
274	0.3190212174
275	0.3188111488
276	0.318491273
277	0.3182040132
278	0.3178179849
279	0.3176284893
280	0.3173239667
281	0.3171228979
282	0.3167861209
283	0.3164422673
284	0.3161336697
285	0.315769535
286	0.3155256064
287	0.3152164731
288	0.314993464
289	0.3145742799
290	0.3141655219
291	0.3138465821
292	0.313623685
293	0.3133423221
294	0.3129660776
295	0.3126822552
296	0.3124932746
297	0.3121762839
298	0.3120225338
299	0.3117771444
300	0.3114504186
301	0.3111301074
302	0.3108902719
303	0.3106862049
304	0.3105079508
305	0.3102856588
306	0.3099959608
307	0.3097312546
308	0.3095370853
309	0.3093160716
310	0.3090759562
311	0.3087120583
312	0.3085009978
313	0.3082428393
314	0.3079859423
315	0.3077465189
316	0.3074990594
317	0.3072072291
318	0.3068911894
319	0.3066147852
320	0.3063430922
321	0.3061120505
322	0.3058570396
323	0.3055919301
324	0.3053714628
325	0.3051825442
326	0.304944469
327	0.3046922513
328	0.3044623963
329	0.3042995346
330	0.3040975617
331	0.3039269951
332	0.3037185395
333	0.3034471954
334	0.3032356273
335	0.303029719
336	0.302807395
337	0.3025426907
338	0.3023354008
339	0.3021173203
340	0.3019808035
341	0.3017384705
342	0.3014882401
343	0.3011995747
